SN,tel,eng,names,finalised
578,"స్పార్ష్ సూపర్ స్పెషాలిటీ హాస్పిటల్, యుష్వాంత్పూర్ ","Sparsh Super Speciality హాస్పిటల్, Yeashwanthpur","స్పర్శ్ సూపర్ స్పెషలిటీ హాస్పిటల్, ఏఅశ్వంతపూర్","స్పర్శ్ సూపర్ స్పెషలిటీ హాస్పిటల్, ఏఅశ్వంతపూర్"
579,ఆదిత్య సూపర్ స్పెషాలిటీ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Aditya Super Speciality హాస్పిటల్ And Research Centre,ఆదిత్య సూపర్ స్పెషలిటీ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,ఆదిత్య సూపర్ స్పెషాలిటీ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
580,"మైలురాయి ఆసుపత్రులు, కుకట్పల్లి ","Landmark హాస్పిటల్స్, Kukatpally","లాండ్మార్క్ హాస్పిటల్స్, కూకట్పల్లి","లాండ్మార్క్ హాస్పిటల్స్, కూకట్పల్లి"
581,Kaizen s పిటా l,Kaizen హాస్పిటల్,కైజెన్ హాస్పిటల్,కైజెన్ హాస్పిటల్
582,అమృతరా-నా ఆసుపత్రి,Amritdhara-My హాస్పిటల్,Amritdhara-My హాస్పిటల్,అమ్రిత్ధారా -నా ఆసుపత్రి
583,ఆంధ్ర ఆతిథ్యాలు (భవన్పురం) ప్రెవేట్. లిమిటెడ్ .,Andhra హాస్పిటల్స్ (భవాని పురం ) ప్రైవేట్. లిమిటెడ్ .,ఆంధ్ర హాస్పిటల్స్ (భవాని పురం ) ప్రైవేట్. లిమిటెడ్ .,ఆంధ్ర హాస్పిటల్స్ (భవాని పురం ) ప్రైవేట్. లిమిటెడ్ .
584,ఈడెన్ క్రిటికల్ కేర్ హాస్పిటల్,Eden Critical Care హాస్పిటల్,ఈడెన్ క్రిటికల్ కేర్ హాస్పిటల్,ఈడెన్ క్రిటికల్ కేర్ హాస్పిటల్
585,కార్పొరేట్ ఆసుపత్రి,The Corporate హాస్పిటల్,ది కార్పొరేట్ హాస్పిటల్,ది కార్పొరేట్ హాస్పిటల్
586,నయార్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Nayyar Heart Institute అండ్ Super Speciality హాస్పిటల్,నయ్యర్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ సూపర్ స్పెషలిటీ హాస్పిటల్,నయ్యర్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ సూపర్ స్పెషలిటీ హాస్పిటల్
587,రిరా ఆరోగ్యం అండ్ మెడికేర్ ప్రైవేట్. లిమిటెడ్ .,Chirayu Health అండ్ Medicare ప్రైవేట్. లిమిటెడ్ .,చిరాయు హెల్త్ అండ్ మెడికేర్ ప్రైవేట్. లిమిటెడ్ .,చిరాయు హెల్త్ అండ్ మెడికేర్ ప్రైవేట్. లిమిటెడ్ .
588,Qrg మెడికేర్ లిమిటెడ్,QRG Medicare లిమిటెడ్ .,క్ర్గ్ మెడికేర్ లిమిటెడ్ .,QRG మెడికేర్ లిమిటెడ్
589,రెయిన్బో పిల్లల మెడికేర్ ప్రైవేట్. లిమిటెడ్ .,Rainbow Children's Medicare ప్రైవేట్. లిమిటెడ్ .,రెయిన్బో Children's మెడికేర్ ప్రైవేట్. లిమిటెడ్ .,రెయిన్బో పిల్లల మెడికేర్ ప్రైవేట్. లిమిటెడ్ .
590,"సుందరే ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్, కాచల్ క్వాయిల్జ్ ","Sunrise Institute Of Medical Science, Vazhakkala Village","సుంరిసె ఇన్స్టిట్యూట్ అఫ్ మెడికల్ Science, వాజక్కల విల్లగె","సన్రైస్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్, వాజక్కల విల్లేజ్  "
591,ప్రజలు ట్రీ హాస్పిటల్స్,People Tree హాస్పిటల్స్,పెఒప్లె ట్రీ హాస్పిటల్స్,పీపుల్ ట్రీ హాస్పిటల్స్
592,నోవా హాస్పిటల్ లిమిటెడ్,Nova హాస్పిటల్ లిమిటెడ్,నోవా హాస్పిటల్ లిమిటెడ్,నోవా హాస్పిటల్ లిమిటెడ్
593,కేర్ మాక్స్ సూపర్స్పెసియాలిటీ హాస్పిటల్,Care Max Superspecialty హాస్పిటల్,కేర్ మాక్స్ సూపర్ స్పెషలిటీ హాస్పిటల్,కేర్ మాక్స్ సూపర్స్పెసియాలిటీ హాస్పిటల్
594,కాస్మో హాస్పిటల్.,Cosmo హాస్పిటల్,కోసమో హాస్పిటల్,కాస్మో హాస్పిటల్.
595,అపోలో హాస్పిటల్స్ ఎంటర్ప్రైజ్ లిమిటెడ్,Apollo హాస్పిటల్స్ Enterprise లిమిటెడ్,అపోలో హాస్పిటల్స్ ఎంతెర్ప్రిసె లిమిటెడ్,అపోలో హాస్పిటల్స్ ఎంటర్ప్రైజ్ లిమిటెడ్
596,నర్మదా మీ ఆసుపత్రి,Narmada Apna హాస్పిటల్,నర్మదా అప్నా హాస్పిటల్,నర్మదా అప్నా హాస్పిటల్
597,"సిటీ న్యోరో సెంటర్, బంజారా హిల్స్ ","Citi Neuro Centre, Banjara Hills","సిటీ నెర్వ్ Centre, బంజారా హిల్స్","సిటీ న్యోరో సెంటర్, బంజారా హిల్స్ "
598,ఆసియా హార్ట్ ఇన్స్టిట్యూట్ అండ్ రీసెర్చ్ సెంటర్,Asian Heart Institute and Research Centre,ఆసియన్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ రీసెర్చ్ సెంటర్,ఆసియా హార్ట్ ఇన్స్టిట్యూట్ అండ్ రీసెర్చ్ సెంటర్
599,వినాయక్ హాస్పిటల్,Vinayak హాస్పిటల్,వినాయక్ హాస్పిటల్,వినాయక్ హాస్పిటల్
600,ఏదో multispeciality ఆసుపత్రి,Sapra Multispeciality హాస్పిటల్,సంప్ర ముల్టీస్పెషలిటీ హాస్పిటల్,సంప్ర ముల్టీస్పెషలిటీ హాస్పిటల్
601,నారాయణ మల్టీస్లిటీ హాస్పిటల్ జైపూర్ (నారాయణ హరుటలయ లిమిటెడ్ యూనిట్),Narayana Multispeciality హాస్పిటల్ Jaipur (A Unit of Narayana Hrudayalaya లిమిటెడ్ .),నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్ జైపూర్ (యూనిట్ అఫ్ నారాయణ హృదయాలయ లిమిటెడ్ .),నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్ జైపూర్ ( యూనిట్ అఫ్ నారాయణ హృదయాలయ లిమిటెడ్ .)
602,భారతీయ మెమోరియల్ ఫౌండేషన్ (భారత్ క్యాన్సర్ హాస్పిటల్ అండ్ నిరిలి మెమోరియల్ రేడియేషన్ సెంటర్),Bhartimaiya Memorial Foundation (Bharat Cancer హాస్పిటల్ అండ్ Nirali Memorial Radiation Centre),భర్తిమైయా మెమోరియల్ ఫౌండేషన్ (Bharat కాన్సర్ హాస్పిటల్ అండ్ నిరాలి మెమోరియల్ రేడియేషన్ Centre),భర్తిమైయా మెమోరియల్ ఫౌండేషన్ (భారత్ కాన్సర్ హాస్పిటల్ అండ్ నిరాలి మెమోరియల్ రేడియేషన్ Centre)
603,"చారిసత్ హాస్పిటల్, చారసత్ హెల్త్కేర్ అండ్ రీసెర్చ్ ఫౌండేషన్ ","Charusat హాస్పిటల్, Charusat Healthcare and Research Foundation","చారుసటి హాస్పిటల్, చారుసటి హెల్త్ కేర్ అండ్ రీసెర్చ్ ఫౌండేషన్","చారిసత్ హాస్పిటల్, చారసత్ హెల్త్కేర్ అండ్ రీసెర్చ్ ఫౌండేషన్ "
604,ఐవీ ఆరోగ్యం అండ్ లైఫ్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .,Ivy Health అండ్ Life Sciences ప్రైవేట్. లిమిటెడ్ .,ఐవీ హెల్త్ అండ్ లైఫ్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .,ఐవీ ఆరోగ్యం అండ్ లైఫ్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .
605,శేఖర్ హాస్పిటల్ ప్రెవేట్. లిమిటెడ్ .,Shekhar హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,శేఖర్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,శేఖర్ హాస్పిటల్ ప్రెవేట్. లిమిటెడ్ .
606,మహాత్మా గాంధీ మెడికల్ కాలేజ్ అండ్ హాస్పిటల్,Mahatama Gandhi Medical College అండ్ హాస్పిటల్,మహాత్మ గాంధీ మెడికల్ కాలేజీ అండ్ హాస్పిటల్,మహాత్మా గాంధీ మెడికల్ కాలేజ్ అండ్ హాస్పిటల్
607,ఇండో US Superspeciality హాస్పిటల్,Indo US Superspeciality హాస్పిటల్,ఇండో అస్ సూపర్ స్పెషలిటీ హాస్పిటల్,ఇండో US సూపర్ స్పెషలిటీ హాస్పిటల్
608,కోష్స్ ఆసుపత్రి,Koshys హాస్పిటల్,కొషేస్ హాస్పిటల్,కొషేస్ హాస్పిటల్
609,ఉషా ప్రధాన మల్టీస్పిసియాలిటీ హాస్పిటల్,Usha Prime Multispeciality హాస్పిటల్,ఉష ప్రైమ్ ముల్టీస్పెషలిటీ హాస్పిటల్,ఉష ప్రైమ్ ముల్టీస్పెషలిటీ హాస్పిటల్
610,నాథన్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Nathan Super Speciality హాస్పిటల్,నాథన్ సూపర్ స్పెషలిటీ హాస్పిటల్,నాథన్ సూపర్ స్పెషాలిటీ హాస్పిటల్
611,SRCC చిల్డ్రన్స్ హాస్పిటల్ - నారాయణ ఆరోగ్యం ద్వారా నిర్వహించబడింది,SRCC Childrens హాస్పిటల్ - Managed by Narayana Health,సార్క్ చిల్డ్రన్స్ హాస్పిటల్ - మనగెద్ బై నారాయణ హెల్త్,SRCC చిల్డ్రన్స్ హాస్పిటల్ - నారాయణ హెల్త్ ద్వారా నిర్వహించబడింది
612,కమలా నెహ్రూ మెమోరియల్ హాస్పిటల్ ప్రాంతీయ క్యాన్సర్ సెంటర్,Kamala Nehru Memorial హాస్పిటల్ Regional Cancer Centre,కమల నెహ్రు మెమోరియల్ హాస్పిటల్ రీజినల్ కాన్సర్ సెంటర్,కమలా నెహ్రూ మెమోరియల్ హాస్పిటల్ ప్రాంతీయ క్యాన్సర్ సెంటర్
613,అబ్రోల్ మెడికల్ సెంటర్,Abrol Medical Centre,అబ్రాల్ మెడికల్ సెంటర్,అబ్రోల్ మెడికల్ సెంటర్
614,కాంచీ కామకోటి చైల్డ్స్ ట్రస్ట్ హాస్పిటల్,Kanchi Kamakoti Childs Trust హాస్పిటల్,కంచి కామకోటి చిల్డ్స్ ట్రస్ట్ హాస్పిటల్,కాంచీ కామకోటి చైల్డ్స్ ట్రస్ట్ హాస్పిటల్
615,"మహారాజా అగ్రేసెన్ హాస్పిటల్, ద్వారకా ","Maharaja Agrasen హాస్పిటల్, Dwarka","మహారాజ అగ్రసేన్ హాస్పిటల్, ద్వారకా","మహారాజా అగ్రేసెన్ హాస్పిటల్, ద్వారకా "
616,ఆకాష్ హెల్త్కేర్ సూపర్ స్పెషాలిటీ హాస్పిటల్,Aakash Healthcare Super Speciality హాస్పిటల్,ఆకాష్ హెల్త్ కేర్ సూపర్ స్పెషలిటీ హాస్పిటల్,ఆకాష్ హెల్త్కేర్ సూపర్ స్పెషాలిటీ హాస్పిటల్
617,"మణిపాల్ ఆస్పత్రులు, వైట్ఫీల్డ్ ","Manipal హాస్పిటల్స్, Whitefield ","మణిపాల్ హాస్పిటల్స్, విటపీల్డ్","మణిపాల్ ఆస్పత్రులు, వైట్ఫీల్డ్ "
618,హాస్పిటల్ వేచి ఉంది,W-Pratiksha హాస్పిటల్,W-Pratiksha హాస్పిటల్,W-ప్రతీక్ష హాస్పిటల్
619,"స్థ.థెరెసా'స్ హాస్పిటల్, ఎర్రగదా ","St.Theresa's హాస్పిటల్, Erragada","St.Theresa's హాస్పిటల్, ఎర్రగదా","st.థెరెసా'స్ హాస్పిటల్, ఎర్రగదా "
620,B.P పోడ్దర్ హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ లిమిటెడ్,B.P Poddar హాస్పిటల్ అండ్ Medical Research లిమిటెడ్ .,B.P పొద్దార్ హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ లిమిటెడ్ .,B.P పోడ్దర్ హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ లిమిటెడ్
621,"Yenapo యొక్క మెడికల్ కాలేజీ హాస్పిటల్, డోల్కట్టి ","Yenepoya Medical College హాస్పిటల్, Deralakatte","ఎనెపోయ మెడికల్ కాలేజీ హాస్పిటల్, డేరాలకట్టే","ఎనెపోయ మెడికల్ కాలేజీ హాస్పిటల్, డేరాలకట్టే"
622,మార్ధర్ ఆసుపత్రి,Marudhar హాస్పిటల్,మరుధర్ హాస్పిటల్,మరుధర్ హాస్పిటల్
623,గ్లెన్ఈగిల్స్ గ్లోబల్ హాస్పిటల్స్,Gleneagles Global హాస్పిటల్స్,గ్లేనేఆగ్లేస్ గ్లోబల్ హాస్పిటల్స్,గ్లెన్ఈగిల్స్ గ్లోబల్ హాస్పిటల్స్
624,జగద్గురు శ్రీ శివరాత్రేశ్వర హాస్పిటల్,Jagadguru Sri Shivarathreeshwara హాస్పిటల్,జగద్గురు శ్రీ శివరాత్రీశ్వర హాస్పిటల్,జగద్గురు శ్రీ శివరాత్రేశ్వర హాస్పిటల్
625,నీలీమా ఆసుపత్రి,Neelima హాస్పిటల్,నీలిమ హాస్పిటల్,నీలీమా ఆసుపత్రి
626,జీవాన్ హాస్పిటల్ అండ్ నర్సింగ్ హోమ్ ప్రెవేట్. లిమిటెడ్ జీవాన్ నగర్,Jeewan హాస్పిటల్ అండ్ Nursing Home ప్రైవేట్. లిమిటెడ్ . Jeewan Nagar,జీవన్ హాస్పిటల్ అండ్ నర్సింగ్ హోమ్ ప్రైవేట్. లిమిటెడ్ . జీవన్ నగర్,జీవన్ హాస్పిటల్ అండ్ నర్సింగ్ హోమ్ ప్రైవేట్. లిమిటెడ్ . జీవన్ నగర్
627,మలబార్ హాస్పిటల్స్ (ప్రైవేట్) లిమిటెడ్,Malabar హాస్పిటల్స్ (Private) లిమిటెడ్ .,మలబార్ హాస్పిటల్స్ (Private) లిమిటెడ్ .,మలబార్ హాస్పిటల్స్ (ప్రైవేట్) లిమిటెడ్
628,"కాయవేరీ హాస్పిటల్ చెన్నై, శ్రీ కెవెరీ మెడికల్ కేర్ త్రిచి లిమిటెడ్, మైలాపూర్ ","Kauvery హాస్పిటల్ చెన్నై, Sri Kavery Medical Care ట్రిచీ లిమిటెడ్ ., Mylapore","కౌవేరీ హాస్పిటల్ చెన్నై, శ్రీ కావేరీ మెడికల్ కేర్ తెరిచే లిమిటెడ్ ., మైలాపూర్","కౌవేరీ హాస్పిటల్ చెన్నై, శ్రీ కావేరీ మెడికల్ కేర్ తెరిచే లిమిటెడ్ ., మైలాపూర్"
629,గంగామీ హాస్పిలి,Gangamai హాస్పిటల్,గంగామై హాస్పిటల్,గంగామై హాస్పిటల్
630,"ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్, కన్నింగ్హమ్ ","Fortis హాస్పిటల్స్ లిమిటెడ్ ., Cunningham","ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్ ., సున్నింఘం","ఫోర్టిస్ హాస్పిటల్స్ లిమిటెడ్, కన్నింగ్హమ్ "
631,HCG NCHRI క్యాన్సర్ సెంటర్ (HCG NCHRI ఆంకాలజి LLP యొక్క యూనిట్),HCG NCHRI Cancer Centre (A unit of HCG NCHRI ఆంకాలజి LLP),హక్కుగా ఞ్చరి కాన్సర్ సెంటర్ (యూనిట్ అఫ్ హక్కుగా ఞ్చరి ఒంచొలొగ్య్ LLP),HCG NCHRI క్యాన్సర్ సెంటర్ (HCG NCHRI ఆంకాలజి LLP యొక్క యూనిట్)
632,రంగడోర్ మెమోరియల్ ఆసుపత్రి,Rangadore Memorial హాస్పిటల్,రంగాడోరె మెమోరియల్ హాస్పిటల్,రంగడోర్ మెమోరియల్ ఆసుపత్రి
633,సైట్కేర్ హాస్పిటల్స్ ప్రైవేట్ లిమిటెడ్,Cytecare హాస్పిటల్స్ Private లిమిటెడ్,సైటేకర్ హాస్పిటల్స్ ప్రైవేట్ లిమిటెడ్,సైట్కేర్ హాస్పిటల్స్ ప్రైవేట్ లిమిటెడ్
634,ఓమ్ని ఆస్పత్రులు (ఇన్కోర్ గ్రూప్ యూనిట్),Omni హాస్పిటల్స్ (A Unit of INCOR Group),ఓమ్ని హాస్పిటల్స్ (యూనిట్ అఫ్ ఇంక Group),ఓమ్ని ఆస్పత్రులు (ఇన్కోర్ గ్రూప్ యూనిట్)
635,"స్టెర్లింగ్ రామ్ కృష్ణ స్పెషాలిటీ హాస్పిటల్, గాంధిధామ్ ","Sterling Ram Krishna Speciality హాస్పిటల్, Gandhidham","స్టెర్లింగ్ రామ్ కృష్ణ Speciality హాస్పిటల్, గదిదం","స్టెర్లింగ్ రామ్ కృష్ణ స్పెషాలిటీ హాస్పిటల్, గాంధిధామ్ "
636,హీలింగ్ టచ్ సూపర్ స్పెషాలిటీ హాస్పిటల్ (నీలం స్వర్గాల ఆరోగ్య సంరక్షణ ప్రైవేట్. లిమిటెడ్ .),Healing Touch Super Specialty హాస్పిటల్ (A Unit of Blue Heavens Health Care ప్రైవేట్. లిమిటెడ్ .),హీలింగ్ టచ్ సూపర్ స్పెషాలిటీ హాస్పిటల్ (యూనిట్ అఫ్ బ్లూ హెఅవెన్స్ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .),హీలింగ్ టచ్ సూపర్ స్పెషాలిటీ హాస్పిటల్ (నీలం స్వర్గాల ఆరోగ్య సంరక్షణ ప్రైవేట్. లిమిటెడ్ .)
637,క్యాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,Cancer హాస్పిటల్ అండ్ Research Institute,కాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,క్యాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్
638,హోప్ ఇంటర్నేషనల్ హాస్పిటల్,Hope International హాస్పిటల్,హోప్ ఇంటర్నేషనల్ హాస్పిటల్,హోప్ ఇంటర్నేషనల్ హాస్పిటల్
639,Kauvery హంగ్రీ - శ్రీ కెవెరీ మెడికల్ కేర్ యూనిట్ (ట్రిచీ) లిమిటెడ్,Kauvery Heartcity - Unit of Sri Kavery Medical Care (ట్రిచీ) లిమిటెడ్,కౌవేరీ హార్ట్సీటీ - యూనిట్ అఫ్ శ్రీ కావేరీ మెడికల్ కేర్ (ట్రిచీ) లిమిటెడ్,కౌవేరీ హార్ట్సీటీ - యూనిట్ అఫ్ శ్రీ కావేరీ మెడికల్ కేర్ (ట్రిచీ) లిమిటెడ్
640,సహ్యాద్రి స్పెషాలిటీ హాస్పిటల్,Sahyadri Speciality హాస్పిటల్,సహ్యాద్రి స్పెషలిటీ హాస్పిటల్,సహ్యాద్రి స్పెషాలిటీ హాస్పిటల్
641,"S. L. మైండ్ మెమోరియల్ హాస్పిటల్, యూనిట్ - మోగా దేవి మైండ్ ఛారిటబుల్ ట్రస్ట్, యాముంపూర్ ","S. L. Minda Memorial హాస్పిటల్, Unit - Moga Devi Minda Charitable Trust, Adampur ","S. L. మిండ మెమోరియల్ హాస్పిటల్, యూనిట్ - మోగా దేవి మిండ చారిటబుల్ Trust, అదంపూర్","S. L. మిండ మెమోరియల్ హాస్పిటల్, యూనిట్ - మోగా దేవి మిండ చారిటబుల్ Trust, అదంపూర్"
642,ఓరిసన్ సూపర్ స్పెషాలిటీ హాస్పిటల్ వంధ్యత్వం అండ్ ట్రామా సెంటర్ (హెల్త్కేర్ ప్రైవేట్ యొక్క ఒక యూనిట్ లిమిటెడ్ .),Orison Super Speciality హాస్పిటల్ Infertility అండ్ Trauma Centre (A Unit of Conjoint Healthcare ప్రైవేట్. లిమిటెడ్ .),ఒరిసిన్ సూపర్ స్పెషలిటీ హాస్పిటల్ ఇంఫెర్టిలిటీ అండ్ ట్రామా సెంటర్ (యూనిట్ అఫ్ కంజాయింట్ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .),ఓరిసన్ సూపర్ స్పెషాలిటీ హాస్పిటల్ వంధ్యత్వం అండ్ ట్రామా సెంటర్ (హెల్త్కేర్ ప్రైవేట్ యొక్క ఒక యూనిట్ లిమిటెడ్ .)
643,HCMCT మణిపాల్ హాస్పిటల్స్,HCMCT Manipal హాస్పిటల్స్,హాకిమ్క్ట్ మణిపాల్ హాస్పిటల్స్,HCMCT మణిపాల్ హాస్పిటల్స్
644,పటేల్ హాస్పిటల్ ప్రెవేట్. లిమిటెడ్ .,Patel హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,పటేల్ హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,పటేల్ హాస్పిటల్ ప్రెవేట్. లిమిటెడ్ .
645,"ఆంధ్ర ఆతిథ్యాలు, సూర్యారోపెట్ ","Andhra హాస్పిటల్స్, Suryaraopet","ఆంధ్ర హాస్పిటల్స్, సూర్యారావుపేట","ఆంధ్ర హాస్పిటల్స్, సూర్యారావుపేట"
646,క్యాన్సర్ ఇన్స్టిట్యూట్ (WIA),Cancer Institute (WIA),కాన్సర్ ఇన్స్టిట్యూట్ (WIA),క్యాన్సర్ ఇన్స్టిట్యూట్ (WIA)
647,నీలం హాస్పిటల్,Neelam హాస్పిటల్,నీలం హాస్పిటల్,నీలం హాస్పిటల్
648,శ్రీ చంద్ర ఆసుపత్రి,Sri Chandra Sekara హాస్పిటల్,శ్రీ చంద్ర సేకర హాస్పిటల్,శ్రీ చంద్ర ఆసుపత్రి
649,ప్రతిమా హాస్పిటల్స్ (శ్రీ సాయి బాలాజీ హెల్త్కేర్ (I) ప్రైవేట్. లిమిటెడ్),Prathima హాస్పిటల్స్ (A Unit of Sri Sai Balaji Healthcare (I) ప్రైవేట్. లిమిటెడ్ .),ప్రతిమ హాస్పిటల్స్ (యూనిట్ అఫ్ శ్రీ సాయి బాలాజీ హెల్త్ కేర్ (I) ప్రైవేట్. లిమిటెడ్ .),ప్రతిమా హాస్పిటల్స్ (శ్రీ సాయి బాలాజీ హెల్త్కేర్ (I) ప్రైవేట్. లిమిటెడ్)
650,CMC హాస్పిటల్.,CMC హాస్పిటల్,సీఎంసీ హాస్పిటల్,CMC హాస్పిటల్.
651,మహాజన్ హాస్పిటల్,Mahajan హాస్పిటల్,మహాజన్ హాస్పిటల్,మహాజన్ హాస్పిటల్
652,Meitra హాస్పిటల్ (ప్రీమియం మెడికల్ హెల్త్కేర్ ప్రొవైడర్స్ ప్రైవేట్ లిమిటెడ్ యూనిట్),Meitra హాస్పిటల్ (A Unit of premium Medical healthcare providers ప్రైవేట్ లిమిటెడ్ ),మొయిత్రా హాస్పిటల్ (యూనిట్ అఫ్ ప్రీమియం మెడికల్ హెల్త్ కేర్ ప్రొవైడర్స్ పీప్ట్ లిమిటెడ్ ),మొయిత్రా హాస్పిటల్ (యూనిట్ అఫ్ ప్రీమియం మెడికల్ హెల్త్ కేర్ ప్రొవైడర్స్ పీప్ట్ లిమిటెడ్ )
653,ప్రీమియర్ హాస్పిటల్ ప్రైవేట్ లిమిటెడ్,Premier హాస్పిటల్ ప్రైవేట్ లిమిటెడ్ ,ప్రీమియర్ హాస్పిటల్ పీప్ట్ ల్టీడ్,ప్రీమియర్ హాస్పిటల్ ప్రైవేట్ లిమిటెడ్
654,"ప్రతిమ హాస్పిటల్స్ (ఆ యూనిట్ ఆ మమత మేడి కేర్ ప్రైవేట్ లిమిటెడ్), కూకట్పల్లి ","Prathima హాస్పిటల్స్ (A Unit of Mamatha Medi Care Private లిమిటెడ్), Kukatpally","ప్రతిమ హాస్పిటల్స్ (యూనిట్ అఫ్ మమతా మేడి కేర్ ప్రైవేట్ లిమిటెడ్), కూకట్పల్లి","ప్రతిమ హాస్పిటల్స్ (ఆ యూనిట్ ఆ మమత మేడి కేర్ ప్రైవేట్ లిమిటెడ్), కూకట్పల్లి "
655,సంయుక్త ఆస్పత్రులు,Shankus హాస్పిటల్స్,శంకుస్ హాస్పిటల్స్,శంకుస్ హాస్పిటల్స్
656,అమినీప్ హాస్పిటల్,Amandeep హాస్పిటల్,అమన్దీప్ హాస్పిటల్,అమన్దీప్ హాస్పిటల్
657,అన్నా అల్ల్ హాస్పిటల్,Annai Arul హాస్పిటల్,అన్నాయి అరుళ్ హాస్పిటల్,అన్నాయి అరుళ్ హాస్పిటల్
658,Q1 ఆస్పత్రులు (Q1 ఎముక అండ్ ఉమ్మడి హాస్పిటల్),Q1 హాస్పిటల్స్ (A Unit of Q1 Bone అండ్ Joint హాస్పిటల్),ఖ్౧ హాస్పిటల్స్ (యూనిట్ అఫ్ ఖ్౧ బోన్ అండ్ జాయింట్ హాస్పిటల్),Q1 హాస్పిటల్స్ (యూనిట్ అఫ్ Q1 బోన్ అండ్ జాయింట్ హాస్పిటల్)
659,శంముఖ హాస్పిటల్ అండ్ సేలం క్యాన్సర్ ఇన్స్టిట్యూట్,Shanmuga హాస్పిటల్ and Salem Cancer Institute,షణ్ముగ హాస్పిటల్ అండ్ సేలం కాన్సర్ ఇన్స్టిట్యూట్,షణ్ముగ హాస్పిటల్ అండ్ సేలం కాన్సర్ ఇన్స్టిట్యూట్
660,నాకు ఒక కార్పోరల్ ఉంది,Al Arif హాస్పిటల్,అల ఆరిఫ్ హాస్పిటల్,అల ఆరిఫ్ హాస్పిటల్
661,"దీపక్ హాస్పిటల్, శారభా నగర్ ","Deepak హాస్పిటల్, Sarabha Nagar","దీపక్ హాస్పిటల్, శరభ నగర్","దీపక్ హాస్పిటల్, శరభ నగర్"
662,మహర్షి మార్కందేశ్వర్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ అండ్ రీసెర్చ్,Maharishi Markandeshwar Institute of Medical Sciences అండ్ Research,మహర్షి మార్కండేశ్వర్ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్ అండ్ రీసెర్చ్,మహర్షి మార్కండేశ్వర్ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్ అండ్ రీసెర్చ్
663,ఆశిష్ ఆసుపత్రి,Ashish హాస్పిటల్,ఆశిష్ హాస్పిటల్,ఆశిష్ ఆసుపత్రి
664,సూపర్ స్పెషాలిటీ హాస్పిటల్ కోసం ధరలు,Kainos Super Speciality హాస్పిటల్,ఖైనోస్ సూపర్ స్పెషలిటీ హాస్పిటల్,ఖైనోస్ సూపర్ స్పెషలిటీ హాస్పిటల్
665,అశ్కా హాస్పిటల్స్ లిమిటెడ్,Aashka హాస్పిటల్స్ లిమిటెడ్,ఆష్కా హాస్పిటల్స్ లిమిటెడ్,ఆష్కా హాస్పిటల్స్ లిమిటెడ్
666,డెనాథాత్ మాంగెష్కర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Deenanath Mangeshkar హాస్పిటల్ and Research Center,దీనానాథ్ మంగేష్కర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,దీనానాథ్ మంగేష్కర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
